commit,package,additions,deletions,LOC,change
3bc0835d640c4dc51619b60821f546d3365ecc23,org.apache.tika.batch,1,1,8085,0
ccb4c2f02d4dd11a0fabcb7349e0784d8165dd6e,org.apache.tika.batch,16,20,8081,-4
f29362d91b46864a7f924c60f7cf691ac18f11b2,org.apache.tika.batch,6,8,8079,-2
53fef890942bdf69d455abbbecc17cd22d6621d6,org.apache.tika.batch,1,1,8079,0
44c0c83971ab5503db4e7258e258a0d3a360594a,org.apache.tika.batch,1,1,8079,0
7595d820633d2588234b6650ab36265a4dcdfec0,org.apache.tika.batch,6,8,8077,-2
faad4c316634880df054dc6178e18f172a132d4e,org.apache.tika.batch,4,4,8077,0
37f0559c28dd485557f5d66e9c0fe6cb6123b225,org.apache.tika.batch,4,4,8077,0
d27f148ef720559f17bdd16be456de904159ce7e,org.apache.tika.batch,10,8,8079,2
8dfee9ecff0ad4f01555abdae82d5e5e8e5c8690,org.apache.tika.batch,5,8,8076,-3
49bd7d574143fde300151f70319d9cc25559e66d,org.apache.tika.batch,5,8,8073,-3
6401ca084ac9409bf6b6c94b2fa4ff293e427133,org.apache.tika.batch,2,2,8073,0
3571725a948a4676f1904799209271eeaf18b102,org.apache.tika.batch,1,3,8071,-2
dd85c73094dc87f6f6e208278325be810761f490,org.apache.tika.batch,1,3,8069,-2
326b7d7abda238ccc181fc2acaf2271e08fe9c1b,org.apache.tika.batch,3,1,8071,2
7f65d61b4fe1f4c1d4929bbe1c456c68afd44b6c,org.apache.tika.batch,1,3,8069,-2
a77cf075e846390fc25768b1cc8c59a56c2ab9e3,org.apache.tika.detect,59,0,59,59
7d67ade82b0022851d5f8c6d6811328b200d10f6,org.apache.tika.detect,2,2,59,0
006831e911d0583045379830ffd77ec58ffb351d,org.apache.tika.detect,181,0,240,181
2e25dc0d756327e90cfbfca1b27e440b4a2e8b21,org.apache.tika.detect,1,0,241,1
2a6d72672029eda0fa94547c0febf84b57a6bc6c,org.apache.tika.detect,64,13,292,51
e11ead4e079a326bc22be640894b46cd6131037d,org.apache.tika.detect,2,0,294,2
d806c4d505445bd764541a5061963c5e99088390,org.apache.tika.detect,120,0,414,120
816eb2675a0c9bbdcfcb0bba139cbad0a7a5d35b,org.apache.tika.detect,313,0,727,313
b6bcbd9db2c10ba2358da965a65f91939ec69deb,org.apache.tika.detect,180,0,907,180
59ec6ce2fcb68ec2cefdc0e52edd84196abe77d0,org.apache.tika.detect,27,1,933,26
de1a3536a9a92d9d4af33f89abaefbe3dd85de31,org.apache.tika.detect,6,7,932,-1
32d2989e2fbc64cba3ac4eea29046f9babc1414e,org.apache.tika.detect,22,9,945,13
073a36a4e54d6541923bb47f682088cb9838ae4b,org.apache.tika.detect,56,43,958,13
e167f836e62ef2e0cb0c853ee6a1f1219825c20b,org.apache.tika.detect,49,0,1007,49
368e6fafc5bce2abd9efeba0800d098a876cbcfc,org.apache.tika.detect,67,0,1074,67
fd0470f664576fdfffe2cafd3f90f924021df38b,org.apache.tika.detect,26,16,1084,10
acf76a64d81eb9c901d92fe718c0f0ffb4d14ced,org.apache.tika.detect,13,2,1095,11
d34e55056c344bcc561e4213058f1d4fd8b87139,org.apache.tika.detect,9,1,1103,8
efdda0a5d6219d0a44c71f7d7dd0f05819841186,org.apache.tika.detect,49,73,1079,-24
57cfc63946ebd79a3732d99955915f5e12fa75ea,org.apache.tika.detect,3,5,1077,-2
3ad79a6a21e0039fb451044b2b9e71f83f258311,org.apache.tika.detect,2,3,1076,-1
67748e39dd351d4fe37febbd7ea3eabb244970d2,org.apache.tika.detect,2,1,1077,1
ead95c8f3034db138f567be98da4503814ed0366,org.apache.tika.detect,5,0,1082,5
72cc380f6a6419ef20cd591186650607884e58ec,org.apache.tika.detect,17,3,1096,14
3ca5da94c605fb8f6d0bbc5e6849e07e0adf1c8c,org.apache.tika.detect,308,0,1404,308
5fcd987552677d28721931f4fddc0192db7f2b9c,org.apache.tika.detect,85,11,1478,74
852dbede2c4ea6585e58c28813a839edb580a05a,org.apache.tika.detect,23,1,1500,22
bc5f04ebb0360874f6b854e18ce766612cf3b369,org.apache.tika.detect,1,1,1500,0
6f48f57a6a0f21e6589a1d512a25574425dcc4cb,org.apache.tika.detect,17,0,1517,17
c0527e022cffb1a554d97d3e9a9d2627d3cfdb33,org.apache.tika.detect,30,27,1520,3
98eb0b0ec46c8a826a8a76a52636d8cc617d3201,org.apache.tika.detect,15,3,1532,12
fc3a08613ba6366b568b7384845a4ead8a76b748,org.apache.tika.detect,24,1,1555,23
c1f7fd7e5de2c31eddf9b0df086d214ea9adf08c,org.apache.tika.detect,386,386,1555,0
bc3fd0722e3f07ba18c54af7108f9f82cd9ea0d9,org.apache.tika.detect,657,657,1555,0
4bf74e902340b89da31eb1427b9b0f19647de9e4,org.apache.tika.detect,239,72,1722,167
e33c7d5726f088b50400197377f2d68e86be118c,org.apache.tika.detect,20,2,1740,18
14be8fe03d632529258f8a687f237253e277fd06,org.apache.tika.detect,20,12,1748,8
3620143ac8c694f7bdea31f2e67c26d86a3f18ab,org.apache.tika.detect,1,1,1748,0
29972fd0e4cfcb772ae465b26b50230313f9c8a4,org.apache.tika.detect,4,17,1735,-13
d60651e489947e4a57eac775928e4b82d77fbd6d,org.apache.tika.detect,32,2,1765,30
3dd12110dad0e5a71555d4e4a0e5a6cd609b0fb7,org.apache.tika.detect,1,1,1765,0
eb949a4915e0b2acd93b964aca718dc997dc8425,org.apache.tika.detect,26,0,1791,26
2a9200837e00473a402e3326357c33b814ecec44,org.apache.tika.detect,7,3,1795,4
12622b402e2343b35b7ee3d09bc506660583f985,org.apache.tika.detect,390,471,1714,-81
0fa372711329b8765545b9f28f1112d9e955352e,org.apache.tika.detect,66,0,1780,66
9fbce438928982a43fa2ffac51d8550d39a47bef,org.apache.tika.detect,4,0,1784,4
90b0f8e906a5890b6c41bfc4f7b234cdbe24bcab,org.apache.tika.detect,10,6,1788,4
0a7b8ce9f466dd895316084dcdd1ccc5401629a4,org.apache.tika.detect,6,19,1775,-13
3e0191d232a8574083f3648f2b6b8590ac132c15,org.apache.tika.detect,6,1,1780,5
87fd9affb574d62ed26d669adaa3d7cf37e124fb,org.apache.tika.detect,11,48,1743,-37
ddceb68bdabc6fb732ecf2182dcb589237277a58,org.apache.tika.detect,3,1,1745,2
c3318a107e894b6c38b5ab753ba999583c8a99b2,org.apache.tika.detect,2,2,1745,0
0ac8f50dc27155252cd352b761403b12f8a4030f,org.apache.tika.detect,35,0,1780,35
717b17387f2b8d3fb0decf4a9699f21e7f673fad,org.apache.tika.detect,35,12,1803,23
9dc084c72fb87729f3344109c8a3146cca52dc90,org.apache.tika.detect,6,1,1808,5
c4c8b2247dd90e0f5ed3b9eac6da471e013989a8,org.apache.tika.detect,22,0,1830,22
de3538527dc7658735a7544c9f904007bc180021,org.apache.tika.detect,0,0,1830,0
