package,commit,# classes,# classes diff,# classes added,# classes removed,author,datetime,jira
org.apache.tika.parser.microsoft,12198666bf0cf6811613c9ae27c4a384e42875b1,58,16,16,0,Tim Allison,2020-12-02 12:04:33-05:00,TIKA-3241
org.apache.tika.parser.txt,eb73a4be05f53e33679146810c28e74224f8b359,70,7,7,0,Nick Burch,2011-09-23 11:54:11+00:00,TIKA-720
org.apache.tika.parser.txt,6bc0537b260d826bbfc6cf04d06963b86e230d72,75,4,4,0,Jukka Zitting,2012-07-07 19:22:01+00:00,TIKA-322
org.apache.tika.parser.txt,d698d49793bb96aee6a8bfcc4a174c922cb83cb8,62,-12,0,-12,Tim Allison,2016-07-26 15:26:40-04:00,TIKA-2041
org.apache.tika.parser.txt,f77eb2b5ab4e09208b77d3d860e6520151d20653,74,11,11,0,Thamme Gowda,2016-08-12 19:25:32-07:00,
org.apache.tika.parser.txt,afb7e3643a61e9dc6c4921b12bc145b1be4e1402,63,-11,0,-11,Chris Mattmann,2016-08-14 11:46:30-07:00,TIKA-1508
org.apache.tika.parser.txt,5e4678ef6940f63e21b23aec2fd98bcb1b56d395,74,11,11,0,amensiko,2016-08-16 19:59:36+03:00,
org.apache.tika.parser.txt,c71e0b21267a128ca74e53df04304b818ac5fa7e,63,-11,0,-11,Tim Allison,2016-08-24 12:22:01-04:00,TIKA-2007
org.apache.tika.parser.txt,a1250ff33c68065e4a812285dfa6a6bd2a6a22de,74,11,11,0,Lewis John McGibbney,2016-09-21 08:05:35-07:00,
org.apache.tika.parser.txt,d50a69361bd0196fb2595313cb47222f61701ba4,63,-11,0,-11,Lewis John McGibbney,2016-09-21 08:06:47-07:00,TIKA-1343
org.apache.tika.sax,e76302196ebcafb7b51fce37fbe8256e6c0fbc51,52,7,7,0,Giuseppe Totaro,2017-08-29 18:39:45-07:00,TIKA-2449
org.apache.tika.sax,5638ebc0db0b88341ba663d5ba12eebbe2925240,45,-7,0,-7,Tim Allison,2017-08-30 12:37:44-04:00,TIKA-2448
org.apache.tika.sax,7b869c0c1b132feb691dca645fe9bc689bf320e2,52,7,7,0,Giuseppe Totaro,2017-09-06 17:13:36-07:00,TIKA-2449
org.apache.tika.sax,21c0f373e0a9bcf82e3e53c886c45f448b50df76,45,-7,0,-7,Nick Burch,2017-09-07 22:36:54+01:00,
org.apache.tika.sax,31625a2ad6b9a4de73aa322845fb1e38ba96177d,52,7,7,0,Giuseppe Totaro,2017-09-07 15:31:08-07:00,TIKA-2449
org.apache.tika.sax,70ca280f11fe4127df290b8027c6bc1d5180271f,45,-7,0,-7,Nassif,2017-09-08 12:36:48-03:00,TIKA-2460
org.apache.tika.sax,7dd38d5500c539328e2b0a083e1998a28e680539,52,7,7,0,Giuseppe Totaro,2017-09-13 17:33:22-07:00,
org.apache.tika.sax,33da38ebb209250680aee3ab8565c89846f3a865,45,-7,0,-7,Matthew Caruana Galizia,2017-09-27 12:42:14+02:00,TIKA-2455
org.apache.tika.sax,766cdac5735565ba898932c4f8696dc8a678e74b,52,7,7,0,Sergey Beryozkin,2017-10-02 12:29:22+01:00,TIKA-2472
org.apache.tika.server,57db5ef21c95f49aa19b9da69a69d27a2a1da5ad,38,4,4,0,Tim Allison,2014-12-18 19:50:52+00:00,TIKA-1498
