package,commit,is gc,# classes,# classes diff,author,datetime,jira
org.apache.tika.parser.microsoft.ooxml,c5da6bbbddf877585a2869e4f3d963b3f7d62795,False,,0,Chris Mattmann,2017-05-03 13:14:55-07:00,
org.apache.tika.parser.microsoft.ooxml,19348811a9ff9e89cb309334cfba010a62b72600,True,31,0,tballison,2017-05-03 16:16:56-04:00,TIKA-2352
org.apache.tika.parser.microsoft.ooxml,b46f20d41157a1d4b8d4cd2ced67fdf1f6772e47,False,,0,Chris Mattmann,2017-05-03 13:17:16-07:00,
org.apache.tika.parser.microsoft.ooxml,70d2455c4ff7c54afe6762d5b50653b8de06f2b2,True,31,0,Chris Mattmann,2017-05-03 13:32:42-07:00,TIKA-2016
org.apache.tika.parser.microsoft.ooxml,01ae9876663cb522f886322be8c2d395ab279854,False,,0,Thamme Gowda,2017-05-03 21:47:07-07:00,
org.apache.tika.parser.microsoft.ooxml,414a4297a2000d8f9276e0ed5d657643f8e94d3a,True,31,0,Madhav Sharan,2017-05-04 15:58:18-07:00,TIKA-2355
org.apache.tika.parser.microsoft.ooxml,1e436f50ec97862b41805b678415d65a8fecd2b3,False,,0,Chris Mattmann,2017-05-07 11:33:04-07:00,
org.apache.tika.parser.microsoft.ooxml,0aaa1215fd11632c349e9bdebac9829578276cb1,True,31,0,David Meikle,2017-05-08 14:32:19+01:00,TIKA-2357
org.apache.tika.parser.microsoft.ooxml,704a0393334d2b9911bc19ae458801e7fed7f796,False,,0,Chris Mattmann,2017-05-08 22:22:44-07:00,
org.apache.tika.parser.microsoft.ooxml,3207f12c13491005b16104cbeeea8d3da2f6966d,True,31,0,Chris Mattmann,2017-05-08 22:54:47-07:00,
org.apache.tika.parser.microsoft.ooxml,b5b4eb6fde6c34c12d534e9412c0c73326b9886c,False,,0,Cameron Rollheiser,2017-05-17 09:44:34-04:00,
org.apache.tika.parser.microsoft.ooxml,9d34cbb92a43bc52b4886954e0771ca6eea96bad,True,31,0,Tim Allison,2017-05-18 06:12:50-04:00,
org.apache.tika.parser.microsoft.ooxml,8dbb5736fa92b323e270e2075b42dce458a3abd6,False,,0,tallison,2020-12-02 09:41:07-05:00,TIKA-3241
org.apache.tika.parser.microsoft.ooxml,12198666bf0cf6811613c9ae27c4a384e42875b1,True,34,0,tallison,2020-12-02 12:04:33-05:00,TIKA-3241
org.apache.tika.parser.microsoft.ooxml,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.parser.txt,d9493ee520d41bfc8be8a3bd959dde6e136729e7,True,62,0,Jukka Zitting,2009-05-22 18:21:59+00:00,TIKA-233
org.apache.tika.parser.txt,8dbb5736fa92b323e270e2075b42dce458a3abd6,False,,0,tallison,2020-12-02 09:41:07-05:00,TIKA-3241
org.apache.tika.parser.txt,a43784b19f6b0955478dded71521b0491d21c90b,True,63,0,tallison,2020-12-02 11:58:44-05:00,TIKA-3241
org.apache.tika.parser.txt,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.sax,fcde81cfbf6f7d4a7ba4e148471f1ce622d59f92,True,31,0,Jukka Zitting,2011-09-25 09:42:05+00:00,TIKA-651
org.apache.tika.sax,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.server,14991add8ca94238b07b98b341febf67b6e5fbb7,True,31,0,Nick Burch,2014-05-07 12:27:11+00:00,TIKA-1270
org.apache.tika.server,411248466302763e19608733dcbfb95cdc36363d,False,,0,Tyler Palsulich,2015-03-13 22:09:52+00:00,TIKA-1564
org.apache.tika.server,bf1b2418d47e9fa47e0634825341921d7edd1ee8,True,31,0,TALLISON,2018-09-07 19:16:32-04:00,TIKA-2725
org.apache.tika.server,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.utils,71486d765318062f8cb04cd3335bd9049a2ff5fc,True,31,0,PeterAlfredLee,2020-10-31 12:13:55+08:00,
org.apache.tika.utils,53fef890942bdf69d455abbbecc17cd22d6621d6,False,,0,PeterAlfredLee,2020-11-03 15:57:22+08:00,
org.apache.tika.utils,793eb4a72916ed3c21413c5faf7662c921f58b49,True,31,0,Ken Krugler,2020-11-05 14:45:03-08:00,
org.apache.tika.utils,8dbb5736fa92b323e270e2075b42dce458a3abd6,False,,0,tallison,2020-12-02 09:41:07-05:00,TIKA-3241
org.apache.tika.utils,a43784b19f6b0955478dded71521b0491d21c90b,True,31,0,tallison,2020-12-02 11:58:44-05:00,TIKA-3241
org.apache.tika.utils,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
