Project Name,Package Name,Architecture Smell,Cause of the Smell
tika,org.apache.tika.example,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 52
tika,org.apache.tika.example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DumpTikaConfigExampleTest]; [TranslatorExampleTest]; [LanguageDetectorExampleTest]; [ContentHandlerExampleTest]; [TextStatsFromTikaEvalTest]; [SimpleTypeDetectorTest; SimpleTypeDetector]; [AdvancedTypeDetectorTest; AdvancedTypeDetector]; [TestParsingExample]; [SimpleTextExtractorTest; SimpleTextExtractor]; [ExtractEmbeddedFilesTest]; [TextStatsFromTikaEval]; [ParsingExample]; [TrecDocumentGenerator]; [TrecDocument]; [InterruptableParsingExample]; [QueryMatchedException]; [InterruptingContentHandler]; [ImportContextImpl]; [PrescriptionParser]; [SpringExample]; [LuceneIndexerExtended]; [PickBestTextEncodingParser; CharsetTester]; [CharsetContentHandlerFactory]; [DumpTikaConfigExample]; [MediaTypeExample]; [ZipListFiles]; [DisplayMetInstance]; [DirListParser]; [RollbackSoftware]; [DeploymentAreaParser]; [LuceneIndexer]; [MyFirstTika]; [RecentFiles]; [TIAParsingExample]; [LanguageDetectorExample]; [ExtractEmbeddedFiles]; [MyEmbeddedDocumentExtractor]; [CustomMimeInfo]; [EncryptedPrescriptionParser; Pharmacy; EncryptedPrescriptionDetector]; [ContentHandlerExample]; [GrabPhoneNumbersExample]; [MetadataAwareLuceneIndexer]; [Language]; [TranslatorExample]; [DescribeMetadata]; [LanguageDetectingParser]. LCC (Lack of Component Cohesion) = 0.88
